NumeroScheda,Intestazione,Titolo,Anno,NumeroArchivio,Tecnica,Dimensioni,SegniRecto,SegniVerso,Collocazione,Provenienza,EsposizioniPersonali,EsposizioniCollettive,Bibliografia,Note,ImmagineRecto,ImmagineVerso,ImmagineLaterale,Illustrazione1,Illustrazione2,Illustrazione3,PaginePDF,TestoIntegrale
56,1927 p14,Ufficiale della Guardia,1927 ca.,1927 p14,olio su tavola,"cm 46 x 33,8",«Fr Di Cocco» in alto a sinistra,"cartellino adesivo in alto a sinistra con il numero d’archivio «P.14»; nella parte superiore scritta a matita «[mano] di [olio di lino] cotto con soluzione d'ambra [?] di lino a [?]»; nella parte inferiore è visibile un rapido schizzo a matita di forma circolare, mentre sul margine sinistro compare una colatura verticale di colore bruno; il supporto presenta inoltre un foro di sospensione centrale","collezione privata, Roma",,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma;
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro, Galleria Narciso, Torino.","1927, Cavalli, Capogrossi, Di Cocco, Hotel Dinesen, Roma.","Corrado Pavolini, Tre giovani, in «Il Tevere», Roma, 11 giugno 1927;
Wart Arslan, Una mostra giovanile, in «Corriere d’Italia», Roma, 28 giugno 1927;
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 23.","Bucci (1991) mette in relazione “l’Ufficiale della Guardia (n. 48)”, ricordato da Arslan nella recensione alla mostra all’Hotel Dinesen con l’unico dipinto di Di Cocco di tale soggetto identificabile con l’opera in esame. Per il tipo di figura dai lineamenti arrotondati l’opera si colloca nel contesto dei lavori del 1926–27 (Pentimento di Pietro cfr. 1927 p252 e L’arca di Noè cfr. 1926 p240), mentre per la pittura e le tonalità calde si distacca dalla matrice quattrocentesca mostrando un influsso della pittura di Goya, cui risale anche il coevo Studio da “La Tirana” cfr. 1927 p308.",,,,,,,72-74,"Recto:
Verso:
[Venere], 1927 ca.
Numero d’archivio: 1927 p21
Tecnica: olio su cartone
Dimensioni: cm 30 x 44
Segni sul recto: «Fr Di Cocco» in basso a sinistra
Segni sul verso: cartellino adesivo in alto a destra con il numero d’archivio «P.21»
Collocazione: collezione privata, Roma
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma;
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro,
Galleria Narciso, Torino.
Esposizioni collettive:
[1927, Cavalli, Capogrossi, Di Cocco, Hotel Dinesen, Roma];
1998, Roma 1918-1943, Chiostro del Bramante, Roma.
Bibliografia:
[Wart Arslan, Una mostra giovanile, in «Corriere d’Italia», Roma, 28 giugno 1927];
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 29;
Roma 1918-1943, catalogo della mostra, a cura di Fabio Benzi, Gianni Mercurio, Luigi Prisco,
Viviani, Roma 1998, ripr. p. 248.
Note:
Secondo Bucci (1991) l’opera potrebbe essere identificata con uno dei “piacevoli pastiches
dall’antico” ricordati da Arslan nella recensione alla mostra dell’Hotel Dinesen del 1927. Per le
calde tonalità dei bruni e dei rossi il piccolo olio si avvicina alle opere esposte in tale occasione
(Ufficiale della Guardia cfr. 1927 p14, e Figura con turbante cfr. 1927 p223), pur distinguendosene
per una resa più sommaria delle figure."
57,1927 p21,[Venere],1927 ca.,1927 p21,olio su cartone,cm 30 x 44,«Fr Di Cocco» in basso a sinistra,cartellino adesivo in alto a destra con il numero d’archivio «P.21»,"collezione privata, Roma",,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma;
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro, Galleria Narciso, Torino.","[1927, Cavalli, Capogrossi, Di Cocco, Hotel Dinesen, Roma];
1998, Roma 1918-1943, Chiostro del Bramante, Roma.","[Wart Arslan, Una mostra giovanile, in «Corriere d’Italia», Roma, 28 giugno 1927];
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 29;
Roma 1918-1943, catalogo della mostra, a cura di Fabio Benzi, Gianni Mercurio, Luigi Prisco, Viviani, Roma 1998, ripr. p. 248.","Secondo Bucci (1991) l’opera potrebbe essere identificata con uno dei “piacevoli pastiches dall’antico” ricordati da Arslan nella recensione alla mostra dell’Hotel Dinesen del 1927. Per le calde tonalità dei bruni e dei rossi il piccolo olio si avvicina alle opere esposte in tale occasione (Ufficiale della Guardia cfr. 1927 p14, e Figura con turbante cfr. 1927 p223), pur distinguendosene per una resa più sommaria delle figure.",,,,,,,74-76,"Recto:
Verso:
[Studio da ""La Tirana""], 1927 ca.
Numero d’archivio: 1927 p308 (a) e (b)
Tecnica: olio su cartone
Dimensioni: cm 32,5 x 37
Segni sul recto: no
Segni sul verso: [Natura morta], 1927 ca., olio su cartone
Collocazione: collezione privata, Roma
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma;
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro,
Galleria Narciso, Torino.
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 25, 26.
Note:
Nella realizzazione dell’opera l’artista si ispira a La Tirana di Goya; secondo Bucci (1991) la
datazione può essere collocata intorno al 1926-27, sulla base della caratteristica resa arrotondata dei
lineamenti, tipica delle opere di Di Cocco di quegli anni (cfr. Ufficiale della Guardia 1927 p14).
Sul verso del cartone è presente una Natura morta eseguita negli stessi anni. Restauro Antonio
Rava, 1990."
58,1927 p308 (a) e (b),"[Studio da ""La Tirana""]",1927 ca.,1927 p308 (a) e (b),olio su cartone,"cm 32,5 x 37",no,"[Natura morta], 1927 ca., olio su cartone","collezione privata, Roma",,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma;
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro, Galleria Narciso, Torino.",,"Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 25, 26.","Nella realizzazione dell’opera l’artista si ispira a La Tirana di Goya; secondo Bucci (1991) la datazione può essere collocata intorno al 1926-27, sulla base della caratteristica resa arrotondata dei lineamenti, tipica delle opere di Di Cocco di quegli anni (cfr. Ufficiale della Guardia 1927 p14). Sul verso del cartone è presente una Natura morta eseguita negli stessi anni. Restauro Antonio Rava, 1990.",,,,,,,76-77,"Recto:
[Paggio], 1927 ca.
Numero d’archivio: 1927 p269
Esposizioni personali:
1932, Terza Mostra del Sindacato Regionale Fascista Belle Arti del Lazio, Palazzo delle
Esposizioni, Roma.
Bibliografia:
Terza mostra del Sindacato Regionale Fascista Belle arti del Lazio, catalogo della mostra, Enzo
Pinci, Roma 1932, sala XV, n. 2, p. 52.
Note:
Originale non noto, opera documentata presso l’Archivio E. Crispolti."
59,1927 p269,[Paggio],1927 ca.,1927 p269,,,,,,,"1932, Terza Mostra del Sindacato Regionale Fascista Belle Arti del Lazio, Palazzo delle Esposizioni, Roma.",,"Terza mostra del Sindacato Regionale Fascista Belle arti del Lazio, catalogo della mostra, Enzo Pinci, Roma 1932, sala XV, n. 2, p. 52.","Originale non noto, opera documentata presso l’Archivio E. Crispolti.",,,,,,,77-78,"Recto:
Verso:
[Paesaggio con ciminiera], 1927-1928
Numero d’archivio: 1927 p267
Tecnica: olio su tela
Dimensioni: cm 52,5 x 60
Segni sul recto: «Fr Di Cocco» in basso a destra
Segni sul verso: cartellino adesivo in alto a sinistra con il numero d’archivio «P.267»; in alto a
destra a penna «1991» e timbro «Galleria Arco Farnese»
Collocazione: collezione privata, Roma
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma;
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro,
Galleria Narciso, Torino.
Esposizioni collettive:
2010, Mazzacurati. La felicità della compiutezza espressiva, Casino dei Principi, Roma, Sala
Esposizioni Chiostri di San Domenico, Reggio Emilia.
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 32;
Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro, catalogo
della mostra, con testi di Titina Maselli, Enrico Crispolti, Antonio Rava, Carlo Alberto Bucci,
Quaderni dell’Archivio Crispolti, Officina Edizioni, Roma 1996, ripr. p. 20;
Mazzacurati. La felicità della compiutezza espressiva, catalogo della mostra, a cura di Silvana
Bonfili, Annapaola Agati, Palombi, Roma 2009, ripr. tav. n. 11, p. 66.
Note:
Restauro Antonio Rava, 1990."
60,1927 p267,[Paesaggio con ciminiera],1927-1928,1927 p267,olio su tela,"cm 52,5 x 60",«Fr Di Cocco» in basso a destra,cartellino adesivo in alto a sinistra con il numero d’archivio «P.267»; in alto a destra a penna «1991» e timbro «Galleria Arco Farnese»,"collezione privata, Roma",,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma;
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro, Galleria Narciso, Torino.","2010, Mazzacurati. La felicità della compiutezza espressiva, Casino dei Principi, Roma, Sala Esposizioni Chiostri di San Domenico, Reggio Emilia.","Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 32;
Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro, catalogo della mostra, con testi di Titina Maselli, Enrico Crispolti, Antonio Rava, Carlo Alberto Bucci, Quaderni dell’Archivio Crispolti, Officina Edizioni, Roma 1996, ripr. p. 20;
Mazzacurati. La felicità della compiutezza espressiva, catalogo della mostra, a cura di Silvana Bonfili, Annapaola Agati, Palombi, Roma 2009, ripr. tav. n. 11, p. 66.","Restauro Antonio Rava, 1990.",,,,,,,78-80,"Recto:
Verso:
[Paesaggio con grande montagna scura], 1927-1928
Numero d’archivio: 1927 p95
Tecnica: mista su cartone
Dimensioni: cm 32,5 x 39,1
Segni sul recto: no
Segni sul verso: cartellino adesivo in alto a sinistra con il numero d’archivio «P.95»; segni e
macchie di colore sul cartone
Collocazione: collezione privata, Roma
Note:
Opera molto ritoccata con gessetti negli ultimi anni di vita dell’artista."
61,1927 p95,[Paesaggio con grande montagna scura],1927-1928,1927 p95,mista su cartone,"cm 32,5 x 39,1",no,cartellino adesivo in alto a sinistra con il numero d’archivio «P.95»; segni e macchie di colore sul cartone,"collezione privata, Roma",,,,,Opera molto ritoccata con gessetti negli ultimi anni di vita dell’artista.,,,,,,,80-81,"Recto:
Verso:
[Paesaggio con ciminiera], 1927-1928
Numero d’archivio: 1927 p183
Tecnica: mista su compensato
Dimensioni: cm 20,5 x 29
Segni sul recto: no
Segni sul verso: cartellino adesivo in alto a destra con il numero d’archivio «P.183»
Collocazione: collezione privata, Roma
Note:
Opera molto ritoccata negli ultimi anni di vita dell’artista."
62,1927 p183,[Paesaggio con ciminiera],1927-1928,1927 p183,mista su compensato,"cm 20,5 x 29",no,cartellino adesivo in alto a destra con il numero d’archivio «P.183»,"collezione privata, Roma",,,,,Opera molto ritoccata negli ultimi anni di vita dell’artista.,,,,,,,81-82,"Recto:
Verso:
[Paesaggio con ciminiera], 1927 ca.
Numero d’archivio: 1927 p68
Tecnica: olio su tavola
Dimensioni: cm 42 x 50,2
Segni sul recto: no
Segni sul verso: cartellino adesivo in alto a sinistra con il numero d’archivio «P.68»; macchie e
segni di colore ai lati; al centro fase preparatoria di un dipinto a forma di ovale lasciato incompiuto
Collocazione: collezione privata, Roma
Note:
Opera molto ritoccata negli ultimi anni di vita dell’artista. Restauro Antonio Rava, 1991."
63,1927 p68,[Paesaggio con ciminiera],1927 ca.,1927 p68,olio su tavola,"cm 42 x 50,2",no,cartellino adesivo in alto a sinistra con il numero d’archivio «P.68»; macchie e segni di colore ai lati; al centro fase preparatoria di un dipinto a forma di ovale lasciato incompiuto,"collezione privata, Roma",,,,,"Opera molto ritoccata negli ultimi anni di vita dell’artista. Restauro Antonio Rava, 1991.",,,,,,,82-83,"Recto:
[Paesaggio con ponte], 1928 ca.
Numero d’archivio: 1928 p161
Note:
Originale non noto, opera documentata presso l’Archivio E. Crispolti."
64,1928 p161,[Paesaggio con ponte],1928 ca.,1928 p161,,,,,,,,,,"Originale non noto, opera documentata presso l’Archivio E. Crispolti.",,,,,,,83-84,"Recto:
[Paesaggio con tre figure in primo piano], 1928-1930
Numero d’archivio: 1928 p162
Note:
Originale non noto, opera documentata presso l’Archivio E. Crispolti."
65,1928 p162,[Paesaggio con tre figure in primo piano],1928-1930,1928 p162,,,,,,,,,,"Originale non noto, opera documentata presso l’Archivio E. Crispolti.",,,,,,,84-85,"Recto:
[Paesaggio con alberi case]
Numero d’archivio: senza data p151
Note:
Originale non noto, opera documentata presso l’Archivio E. Crispolti."
66,p151,[Paesaggio con alberi case],,senza data p151,,,,,,,,,,"Originale non noto, opera documentata presso l’Archivio E. Crispolti.",,,,,,,85,"Recto:
Divertimento, 1928 ca.
Numero d’archivio: 1928 p268
Esposizioni personali:
1932, Terza Mostra del Sindacato Regionale Fascista Belle Arti del Lazio, Palazzo delle
Esposizioni, Roma.
Bibliografia:
Terza mostra del Sindacato Regionale Fascista Belle arti del Lazio, catalogo della mostra, Arti
Grafiche Enzo Pinci, Roma 1932, sala XV, pp. 52-53;
Corrado Pavolini, La III mostra del Sindacato Laziale, note al catalogo, in «Il Tevere», Roma, 10
marzo 1932;
Alberto Neppi, Alla terza mostra del Sindacato Laziale, la sala retrospettiva dello scultore
Canevari e le rassegne individuali, in «Il Lavoro Fascista», Roma, 12 marzo 1932;
Alberto Francini, Cronache delle Belle Arti, La terza mostra del Sindacato Laziale, in «L'Italia
Letteraria», Roma, 13 marzo 1932;
Francesco Sapori, L'arte e il Sindacato di Roma, in «Rassegna dell'Istruzione artistica», Urbino, 2
aprile 1932, ripr. p. 93.
Note:
Originale non noto, opera documentata presso l’Archivio E. Crispolti. La datazione al 1928 è
riportata nel catalogo della mostra del 1932 al Palazzo delle Esposizioni, nella quale il pittore
presenta altri cinque dipinti dello stesso soggetto, attualmente non identificati."
67,1928 p268,Divertimento,1928 ca.,1928 p268,,,,,,,"1932, Terza Mostra del Sindacato Regionale Fascista Belle Arti del Lazio, Palazzo delle Esposizioni, Roma.",,"Terza mostra del Sindacato Regionale Fascista Belle arti del Lazio, catalogo della mostra, Arti Grafiche Enzo Pinci, Roma 1932, sala XV, pp. 52-53;
Corrado Pavolini, La III mostra del Sindacato Laziale, note al catalogo, in «Il Tevere», Roma, 10 marzo 1932;
Alberto Neppi, Alla terza mostra del Sindacato Laziale, la sala retrospettiva dello scultore Canevari e le rassegne individuali, in «Il Lavoro Fascista», Roma, 12 marzo 1932;
Alberto Francini, Cronache delle Belle Arti, La terza mostra del Sindacato Laziale, in «L'Italia Letteraria», Roma, 13 marzo 1932;
Francesco Sapori, L'arte e il Sindacato di Roma, in «Rassegna dell'Istruzione artistica», Urbino, 2 aprile 1932, ripr. p. 93.","Originale non noto, opera documentata presso l’Archivio E. Crispolti. La datazione al 1928 è riportata nel catalogo della mostra del 1932 al Palazzo delle Esposizioni, nella quale il pittore presenta altri cinque dipinti dello stesso soggetto, attualmente non identificati.",,,,,,,85-86,"Recto:
Palloncino o La mongolfiera, 1928-1929
Numero d’archivio: 1928 p104
Tecnica: olio su tela
Dimensioni: cm 35 x 43
Segni sul recto: «Di Cocco» in basso a destra
Segni sul verso: non noto
Collocazione: non nota
Esposizioni personali:
1932, Terza Mostra del Sindacato Regionale Fascista Belle Arti del Lazio, Palazzo delle
Esposizioni, Roma;
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
Bibliografia:
Terza mostra del Sindacato Regionale Fascista Belle arti del Lazio, catalogo della mostra, Arti
Grafiche Enzo Pinci, Roma 1932, sala XV, n. 28, p. 53;
Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, catalogo
della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit,
Macerata 1984, ripr. n. 12, p. 10 (con il titolo Mongolfiera sul fiume);
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 34 (con il titolo Palloncino o La mongolfiera);
Mario Verdone, Un pittore e cineasta romano: Francesco Di Cocco, in «Strenna dei Romanisti:
natale di Roma», Roma, 1992, ripr. p. 637.
Note:
Bucci (1991) segnala che il titolo Palloncino compare sulla targhetta apposta in occasione della
mostra romana del 1932, mentre nel relativo catalogo l’unica opera riferibile al soggetto risulta
intitolata La mongolfiera. Ricorda inoltre che la figura del pallone aerostatico compare per la prima
volta nei dipinti Divertimenti del 1928 (cfr. 1928 p268). L’olio potrebbe quindi essere stato eseguito
durante il soggiorno parigino del 1928 o nel corso del 1929, dopo il rientro dell’artista a Roma. Nel
Fondo Di Cocco presso l’Archivio E. Crispolti è conservato un disegno che documenta la fase di
preparazione dell’opera (vedi illustrazione).
Illustrazione:"
68,1928 p104,Palloncino o La mongolfiera,1928-1929,1928 p104,olio su tela,cm 35 x 43,«Di Cocco» in basso a destra,non noto,non nota,,"1932, Terza Mostra del Sindacato Regionale Fascista Belle Arti del Lazio, Palazzo delle Esposizioni, Roma;
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma.",,"Terza mostra del Sindacato Regionale Fascista Belle arti del Lazio, catalogo della mostra, Arti Grafiche Enzo Pinci, Roma 1932, sala XV, n. 28, p. 53;
Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, catalogo della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit, Macerata 1984, ripr. n. 12, p. 10 (con il titolo Mongolfiera sul fiume);
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 34 (con il titolo Palloncino o La mongolfiera);
Mario Verdone, Un pittore e cineasta romano: Francesco Di Cocco, in «Strenna dei Romanisti: natale di Roma», Roma, 1992, ripr. p. 637.","Bucci (1991) segnala che il titolo Palloncino compare sulla targhetta apposta in occasione della mostra romana del 1932, mentre nel relativo catalogo l’unica opera riferibile al soggetto risulta intitolata La mongolfiera. Ricorda inoltre che la figura del pallone aerostatico compare per la prima volta nei dipinti Divertimenti del 1928 (cfr. 1928 p268). L’olio potrebbe quindi essere stato eseguito durante il soggiorno parigino del 1928 o nel corso del 1929, dopo il rientro dell’artista a Roma. Nel Fondo Di Cocco presso l’Archivio E. Crispolti è conservato un disegno che documenta la fase di preparazione dell’opera (vedi illustrazione).",,,,,,,87-88,"Recto:
[Paesaggio fluviale con mongolfiera], 1928-1929
Numero d’archivio: 1928 p318
Note:
originale non noto, opera documentata presso l’Archivio E. Crispolti. Nel Fondo Di Cocco presso
l’Archivio E. Crispolti è conservato un disegno che documenta la fase di preparazione dell’opera
(vedi illustrazione).
Illustrazione:"
69,1928 p318,[Paesaggio fluviale con mongolfiera],1928-1929,1928 p318,,,,,,,,,,"originale non noto, opera documentata presso l’Archivio E. Crispolti. Nel Fondo Di Cocco presso l’Archivio E. Crispolti è conservato un disegno che documenta la fase di preparazione dell’opera (vedi illustrazione).",,,,,,,88-89,"Recto:
Le lavandaie, 1928-1929
Numero d’archivio: 1928 p114
Tecnica: olio su tela
Dimensioni: cm 54 x 60
Segni sul recto: «Di Cocco» in basso a destra
Segni sul verso: non noto
Collocazione: Collezione Ovidio Jacorossi, Roma
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
Esposizioni collettive:
1929, Prima Mostra del Sindacato Laziale Fascista degli Artisti, Palazzo delle Esposizioni, Roma.
Bibliografia:
Prima mostra del Sindacato Laziale Fascista degli Artisti, catalogo della mostra, Tip. Dionisio
Squarci & figli, Roma 1929, sala III, n. 2, p. 21;
Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, catalogo
della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit,
Macerata 1984, p. 14.
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 38;
Note:
L’identificazione dell’opera con Le lavandaie esposta alla Prima Mostra del Sindacato Laziale
Fascista degli Artisti (1929), viene ipotizzata da Bucci (1991), in considerazione delle strette
affinità con I tre alberi (cfr. 1929 p262), presentato nella stessa occasione. L’assenza di altri dipinti
noti di Di Cocco con analogo soggetto rafforza tale ipotesi. Nelle carte dell’archivio collezione
Jacorossi è stato anche erroneamente dato il titolo Paesaggio con figure, e la data 1932. Nel Fondo
Di Cocco presso l’Archivio E. Crispolti è conservato un disegno che documenta la fase di
preparazione per le figure sullo sfondo dell’opera (vedi illustrazione).
Illustrazione:"
70,1928 p114,Le lavandaie,1928-1929,1928 p114,olio su tela,cm 54 x 60,«Di Cocco» in basso a destra,non noto,"Collezione Ovidio Jacorossi, Roma",,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma.","1929, Prima Mostra del Sindacato Laziale Fascista degli Artisti, Palazzo delle Esposizioni, Roma.","Prima mostra del Sindacato Laziale Fascista degli Artisti, catalogo della mostra, Tip. Dionisio Squarci & figli, Roma 1929, sala III, n. 2, p. 21;
Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, catalogo della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit, Macerata 1984, p. 14.
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 38;","L’identificazione dell’opera con Le lavandaie esposta alla Prima Mostra del Sindacato Laziale Fascista degli Artisti (1929), viene ipotizzata da Bucci (1991), in considerazione delle strette affinità con I tre alberi (cfr. 1929 p262), presentato nella stessa occasione. L’assenza di altri dipinti noti di Di Cocco con analogo soggetto rafforza tale ipotesi. Nelle carte dell’archivio collezione Jacorossi è stato anche erroneamente dato il titolo Paesaggio con figure, e la data 1932. Nel Fondo Di Cocco presso l’Archivio E. Crispolti è conservato un disegno che documenta la fase di preparazione per le figure sullo sfondo dell’opera (vedi illustrazione).",,,,,,,89-91,"Recto
Natura morta, 1928 ca.
Numero d’archivio: 1928 p256
Segni sul recto: «Di Cocco» in basso a sinistra
Esposizioni personali:
1932, Terza Mostra del Sindacato Regionale Fascista Belle Arti del Lazio, Palazzo delle
Esposizioni, Roma.
Esposizioni collettive:
1929-1930, Mostra del centenario della società Amatori e Cultori delle Belle Arti, Seconda mostra
del Sindacato Laziale Fascista di Belle Arti, Palazzo delle Esposizioni, Roma;
1949, Mostra d’Arte Moderna della Sardegna, Opera Bevilacqua La Masa, Venezia.
Bibliografia:
Mostra del Centenario della Soc. Amatori e Cultori di Belle Arti, Seconda mostra del Sindacato
Laziale Fascista di Belle Arti, catalogo della mostra, Arti Grafiche Enzo Pinci, Roma 1930, sala VI,
n. 22, p. 33;
Terza mostra del Sindacato Regionale Fascista Belle arti del Lazio, catalogo della mostra, Enzo
Pinci, Roma 1932, sala XV, [n. 4], [n. 14], p. 52;
Pio Gardenghi, Pittori del Novecento, in «Corriere Padano», Ferrara, 29 marzo 1930;
Alberto Neppi, Alla terza mostra del Sindacato Laziale, la sala retrospettiva dello scultore
Canevari e le rassegne individuali, in «Il Lavoro Fascista», Roma, 12 marzo 1932.
Note:
L’identificazione dell’opera con il dipinto esposto a Roma alla Seconda mostra del Sindacato
Laziale Fascista di Belle Arti del 1930, viene confermata sulla base della descrizione fornita da Pio
Gardenghi sul Corriere Padano nel 1930: “La natura morta (melanzane, porri e una caffettiera) è un
gioiello di fattura, assai plastica, con modulazioni perfette”."
